obs,action,reward,price
"[0.9508571428571428, 2.0, 0.26666666666666666, 1.0, 1.0, -0.21212121212121218, -0.008274096685636324, 0.004508735675372577, 0.0, 1.0, 0.10416666666666667, 0.1711, 0.6, -0.18620689655172412, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6656.0
"[0.9509285714285715, 2.0, 0.26666666666666666, 1.0, 1.0, -0.1428571428571429, 0.006268850788092095, 0.006011421701233033, 0.0, 1.0, 0.1875, 0.1679, -0.6, -0.2, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6656.5
"[0.9509642857142857, 2.0, 0.26666666666666666, 1.0, 1.0, -0.028571428571428754, 0.02154185287117798, 0.008266015404845284, 0.0, 1.0, 0.3333333333333333, 0.1656, 0.6, -0.17419354838709677, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6656.75
"[0.9507142857142857, 2.0, 0.26666666666666666, -1.0, 1.0, 0.028571428571428612, 0.03523796188719643, 0.012777151446825563, 0.0, 1.0, 0.3333333333333333, 0.1648, -0.6, -0.17419354838709677, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6655.0
"[0.9506071428571429, 2.0, 0.26666666666666666, -1.0, 1.0, -0.1428571428571429, 0.0317149844989217, 0.006764120100708482, 0.0, 1.0, -0.020833333333333332, 0.165, 0.6, -0.13548387096774192, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6654.25
"[0.9506428571428571, 2.0, 0.26666666666666666, -1.0, 1.0, -0.16279069767441867, 0.02265393402722111, -0.003005146313062035, 0.0, 1.0, -0.14583333333333334, 0.1653, -0.6, -0.17419354838709677, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6654.5
"[0.9508571428571428, 2.0, 0.26666666666666666, 1.0, 1.0, 0.027027027027026945, 0.017277891219964658, -0.004507211538462563, 0.0, 1.0, -0.16666666666666666, 0.1661, 0.6, -0.17419354838709677, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6656.0
"[0.95075, 2.0, 0.26666666666666666, 1.0, 1.0, 0.21951219512195125, 0.02476022813716554, -0.0015022909937645323, 0.0, 1.0, -0.0625, 0.1712, 0.6, -0.13548387096774192, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6655.25
"[0.9507857142857142, 2.0, 0.26666666666666666, 1.0, 1.0, 0.1363636363636364, 0.024391258922059934, -0.004506703721787186, 0.0, 1.0, 0.020833333333333332, 0.1757, -0.6, -0.13548387096774192, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6655.5
"[0.9507857142857142, 2.0, 0.26666666666666666, 1.0, 1.0, 0.15555555555555542, 0.025807621085641587, 0.0015026296018039176, 0.0, 1.0, 0.10416666666666667, 0.1807, -0.6, -0.13548387096774192, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6655.5
"[0.9508928571428571, 2.0, 0.26666666666666666, 1.0, 1.0, 0.1363636363636364, 0.026622893042986106, 0.0037569974076712143, 0.0, 1.0, 0.08333333333333333, 0.1843, -0.6, -0.13548387096774192, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6656.25
"[0.95075, 2.0, 0.26666666666666666, 1.0, 1.0, 0.21739130434782608, 0.032913417043164375, 0.005259598767750617, 0.0, 1.0, 0.020833333333333332, 0.1879, 0.6, -0.0967741935483871, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6655.25
"[0.9507142857142857, 2.0, 0.26666666666666666, 1.0, 1.0, 0.24444444444444458, 0.029522972903305345, -0.0022536057692312816, 0.0, 1.0, 0.0, 0.1885, -0.6, -0.0967741935483871, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6655.0
"[0.9506428571428571, 2.0, 0.26666666666666666, -1.0, 1.0, 0.2, 0.024543673118205333, -0.0007512865782643985, 0.0, 1.0, -0.041666666666666664, 0.1899, 0.6, -0.05806451612903226, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6654.5
"[0.9507857142857142, 2.0, 0.26666666666666666, 1.0, 1.0, -0.08108108108108113, 0.01638877131154004, -0.003005033430996118, 0.0, 1.0, -0.08333333333333333, 0.1892, -0.6, -0.0967741935483871, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6655.5
"[0.9506428571428571, 2.0, 0.26666666666666666, -1.0, -1.0, -0.052631578947368494, 0.017763312319948453, 0.0, 0.0, 1.0, -0.0625, 0.1888, -0.6, -0.13548387096774192, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6654.5
"[0.9505714285714286, 2.0, 0.26666666666666666, -1.0, -1.0, -0.20000000000000015, 0.010685370555711416, -0.00525821596244036, 0.0, 1.0, -0.0625, 0.1876, -0.6, -0.13548387096774192, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6654.0
"[0.9503571428571429, 2.0, 0.26666666666666666, -1.0, -1.0, -0.2682926829268293, 0.0010412954769890349, -0.0037564328913264333, 0.0, 1.0, -0.08333333333333333, 0.183, 0.6, -0.0967741935483871, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6652.5
"[0.9504285714285714, 2.0, 0.26666666666666666, -1.0, -1.0, -0.25, -0.01845996717156595, -0.007513148009015147, 0.0, 1.0, -0.16666666666666666, 0.1817, 0.6, -0.0967741935483871, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6653.0
"[0.9505357142857143, 2.0, 0.26666666666666666, -1.0, -1.0, -0.12820512820512817, -0.02954906585664503, -0.00450822751521418, 0.0, 1.0, -0.20833333333333334, 0.1801, -0.6, -0.0967741935483871, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6653.75
"[0.9505, 2.0, 0.26666666666666666, -1.0, -1.0, -0.07317073170731703, -0.03193080852397543, -0.005258808504244872, 0.0, 1.0, -0.0625, 0.1793, -0.6, -0.13548387096774192, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6653.5
"[0.9504285714285714, 2.0, 0.26666666666666666, -1.0, -1.0, -0.27777777777777773, -0.035422846566143563, -0.003005485010143527, 0.0, 1.0, -0.041666666666666664, 0.1778, 0.6, -0.0967741935483871, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6653.0
"[0.9504642857142858, 2.0, 0.26666666666666666, -1.0, -1.0, -0.25714285714285723, -0.041735646852430364, -0.0030057108506165164, 0.0, 1.0, 0.041666666666666664, 0.1771, 0.6, -0.05806451612903226, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6653.25
"[0.9506071428571429, 2.0, 0.26666666666666666, -1.0, -1.0, -0.25714285714285723, -0.0442150271810533, 0.0022547914317927464, 0.0, 1.0, 0.020833333333333332, 0.1765, 0.6, -0.01935483870967742, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6654.25
"[0.9506785714285715, 2.0, 0.26666666666666666, -1.0, -1.0, -0.12820512820512817, -0.03768976113697135, 0.00375770329174685, 0.0, 1.0, 0.041666666666666664, 0.1775, 0.6, -0.01935483870967742, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6654.75
"[0.9506428571428571, 2.0, 0.26666666666666666, -1.0, -1.0, -0.1578947368421052, -0.028165485462341166, 0.003005823783581718, 0.0, 1.0, 0.10416666666666667, 0.1774, -0.6, -0.01935483870967742, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6654.5
"[0.9505, 2.0, 0.26666666666666666, -1.0, -1.0, -0.08571428571428569, -0.02237395500733328, 0.0030059367250334645, 0.0, 1.0, 0.125, 0.1775, 0.6, 0.01935483870967742, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6653.5
"[0.9503571428571429, 2.0, 0.26666666666666666, -1.0, -1.0, -0.1578947368421052, -0.025548002899449786, 0.0015030813167005164, 0.0, 1.0, 0.020833333333333332, 0.1779, 0.6, 0.05806451612903226, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6652.5
"[0.9501785714285714, 2.0, 0.26666666666666666, -1.0, -1.0, -0.20000000000000015, -0.035710861222923995, -0.0022545372562277066, 0.0, 1.0, -0.14583333333333334, 0.1717, -0.6, 0.05806451612903226, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6651.25
"[0.9501785714285714, 2.0, 0.26666666666666666, -1.0, -1.0, -0.41463414634146345, -0.05322611526644323, -0.009016793778411358, 0.0, 1.0, -0.2916666666666667, 0.1717, 0.6, 0.05806451612903226, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6651.25
"[0.95025, 2.0, 0.26666666666666666, -1.0, -1.0, -0.3513513513513513, -0.06634203142111801, -0.010518802359216206, 0.0, 1.0, -0.2708333333333333, 0.1717, 0.6, 0.05806451612903226, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6651.75
"[0.9502142857142857, 2.0, 0.26666666666666666, -1.0, -1.0, -0.24324324324324323, -0.07187706951908694, -0.008265083777894144, 0.0, 1.0, -0.14583333333333334, 0.172, 0.6, 0.05806451612903226, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6651.5
"[0.9500357142857143, 2.0, 0.26666666666666666, -1.0, -1.0, -0.125, -0.07738683684501665, -0.006011873450064709, 0.0, 1.0, -0.08333333333333333, 0.1736, 0.6, 0.0967741935483871, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6650.25
"[0.9500357142857143, 2.0, 0.26666666666666666, -1.0, -1.0, -0.31428571428571417, -0.09078462920169841, -0.006764374295378239, 0.0, 1.0, -0.08333333333333333, 0.1759, -0.6, 0.05806451612903226, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6650.25
"[0.9501428571428572, 2.0, 0.26666666666666666, -1.0, -1.0, -0.4375, -0.10024665378959981, -0.0030069535801535707, 0.0, 1.0, -0.08333333333333333, 0.1782, -0.6, 0.05806451612903226, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6651.0
"[0.9499285714285715, 2.0, 0.26666666666666666, -1.0, -1.0, -0.2941176470588235, -0.10053872811586188, -0.0007517383950395029, 0.0, 1.0, -0.0625, 0.1822, 0.6, 0.05806451612903226, 0.35, 0.0, 0.0]",HOLD,4.033333333333333,6649.5
"[0.9498214285714286, 2.0, 0.26666666666666666, -1.0, -1.0, -0.3684210526315789, -0.11157948833624687, -0.006765136994024701, 0.0, 1.0, -0.16666666666666666, 0.1875, -0.6, 0.05806451612903226, 0.35, 0.0, 0.0]",HOLD,-2.566666666666667,6648.75
"[0.95, 2.0, 0.26666666666666666, -1.0, -1.0, -0.45, -0.12493709130885691, -0.008268811546268129, 0.0, 1.0, -0.125, 0.1951, 0.6, 0.05806451612903226, 0.35, 1.0, 0.0]",HOLD,4.033333333333333,6650.0
"[0.95, 2.0, 0.26666666666666666, -1.0, -1.0, -0.41463414634146345, -0.12401267184341122, -0.0007518514341575688, 0.0, 1.0, -0.020833333333333332, 0.2065, 0.6, 0.05806451612903226, 0.35, 1.0, 0.0]",HOLD,4.033333333333333,6650.0
"[0.9500714285714286, 2.0, 0.26666666666666666, -1.0, -1.0, -0.4871794871794873, -0.12187504458224793, -0.0007518514341575688, 0.0, 1.0, -0.08333333333333333, 0.2059, 0.6, 0.0967741935483871, 0.35, 1.0, 0.0]",HOLD,4.033333333333333,6650.5
"[0.95, 2.0, 0.26666666666666666, -1.0, -1.0, -0.4, -0.11482463584579819, -0.001503533303262028, 0.0, 1.0, 0.08333333333333333, 0.2054, -0.6, 0.0967741935483871, 0.35, 1.0, 0.0]",HOLD,-2.566666666666667,6650.0
"[0.95, 2.0, 0.26666666666666666, -1.0, -1.0, -0.3684210526315789, -0.11197898954524135, 0.0015038724716154306, 0.0, 1.0, 0.10416666666666667, 0.2049, 0.6, 0.13548387096774192, 0.35117805186590767, 1.0, 0.0]",HOLD,4.038045540796964,6650.0
"[0.9499642857142857, 2.0, 0.26666666666666666, -1.0, -1.0, -0.2941176470588235, -0.10847330538799724, 0.003760105282948345, 0.0, 1.0, 0.0, 0.2042, 0.6, 0.13548387096774192, 0.35, 1.0, 0.0]",HOLD,4.033333333333333,6649.75
"[0.9498928571428571, 2.0, 0.26666666666666666, -1.0, -1.0, -0.20000000000000015, -0.10647036447480787, -0.0007518796992478372, 0.0, 1.0, -0.020833333333333332, 0.2033, -0.6, 0.13548387096774192, 0.35, 1.0, 0.0]",HOLD,-2.566666666666667,6649.25
"[0.9500357142857143, 2.0, 0.26666666666666666, -1.0, -1.0, -0.25, -0.10767592149222764, -0.0022556390977435115, 0.0, 1.0, -0.10416666666666667, 0.2015, 0.6, 0.13548387096774192, 0.35117805186590767, 1.0, 0.0]",HOLD,4.038045540796964,6650.25
"[0.9499642857142857, 2.0, 0.26666666666666666, -1.0, -1.0, -0.1764705882352942, -0.09943546336407963, -0.0007518231711900469, 0.0, 1.0, 0.020833333333333332, 0.198, 0.6, 0.17419354838709677, 0.3522849462365592, 1.0, 0.0]",HOLD,4.04247311827957,6649.75
"[0.9500714285714286, 2.0, 0.26666666666666666, -1.0, -1.0, -0.20000000000000015, -0.09583968769047715, -0.0007518796992478372, 0.0, 1.0, -0.020833333333333332, 0.1919, -0.6, 0.17419354838709677, 0.3522849462365592, 1.0, 0.0]",HOLD,-2.55752688172043,6650.5
"[0.9501071428571428, 2.0, 0.26666666666666666, 1.0, -1.0, 0.03030303030303031, -0.08596228568230799, 0.0015037593984956743, 0.0, 1.0, 0.0625, 0.1825, 0.6, 0.2129032258064516, 0.3636859582542694, 1.0, 0.0]",HOLD,4.088077166350411,6650.75
"[0.9502857142857143, 2.0, 0.26666666666666666, 1.0, -1.0, 0.058823529411764636, -0.07524893921263356, 0.003007631865861171, 0.0, 1.0, 0.125, 0.1721, 0.6, 0.2129032258064516, 0.36883301707779886, 1.0, 0.0]",HOLD,4.1086654016445285,6652.0
"[0.9502142857142857, 2.0, 0.26666666666666666, 1.0, -1.0, 0.11111111111111115, -0.05602656817927709, 0.008271609580026151, 0.0, 1.0, 0.14583333333333334, 0.1697, 0.6, 0.2129032258064516, 0.37054870335230866, 1.0, 0.0]",HOLD,4.115528146742568,6651.5
"[0.95025, 2.0, 0.26666666666666666, 1.0, -1.0, 0.25000000000000017, -0.04431720811780906, 0.003759257170781183, 0.0, 1.0, 0.14583333333333334, 0.1655, -0.6, 0.2129032258064516, 0.37054870335230866, 1.0, 0.0]",HOLD,-2.4844718532574324,6651.75
"[0.9503214285714285, 2.0, 0.26666666666666666, 1.0, -1.0, 0.4, -0.03264775316274608, 0.006015263731717901, 0.0, 1.0, 0.10416666666666667, 0.1608, 0.6, 0.25161290322580643, 0.37508697027197974, 1.0, 0.0]",HOLD,4.1336812144212525,6652.25
"[0.9503928571428572, 2.0, 0.26666666666666666, 1.0, -1.0, 0.33333333333333315, -0.01914008514049783, 0.0052627621983303285, 0.0, 1.0, 0.125, 0.156, 0.6, 0.25161290322580643, 0.37680265654648964, 1.0, 0.0]",HOLD,4.140543959519292,6652.75
